global_step,epoch,step_in_epoch,phase,phase_blend_from,phase_blend_to,phase_blend_alpha,actor_loss,critic_loss,imag_return,entropy,plan_loss,wm_plan_loss,real_plan_loss,expected_cost,relative_cost,wm_relative_cost,real_relative_cost,margin_loss,wm_rank_loss,real_rank_loss,planner_entropy,actor_vs_planner_agreement,actor_vs_real_agreement,wm_real_best_agreement,real_teacher_mix,valid_action_count_mean,real_expected_cost,real_best_cost,lr,plan_weight,rank_weight,relative_weight,entropy_coef,wall_time,eval_latency_short,eval_reward_short,anchor_eval_latency,anchor_eval_reward,eval_score,best_eval_latency_so_far,best_eval_score_so_far,score_improved,short_guard_ok,anchor_guard_ok,rollback_triggered,is_best_checkpoint
33,0,32,A,A,A,0.0,0.7591568827629089,0.02275066450238228,-2022.0997333526611,0.6375544667243958,0.6504974961280823,0.645999550819397,0.6541215181350708,2.022099733352661,0.05942799150943756,0.04019639268517494,0.0951249748468399,0.11847265064716339,0.0488506555557251,0.22044230997562408,0.6370993256568909,0.8359375,0.6484375,0.671875,0.3492187559604645,2.0625,2.0544662475585938,1.959341287612915,0.00045,1.1,0.25,0.45,0.02,1776781974.4370484,,,,,,,,,,,,
34,0,33,A,A,A,0.0,0.7641887068748474,0.020184360444545746,-2030.168056488037,0.6476567983627319,0.6587918996810913,0.6589107513427734,0.6548171043395996,2.030168056488037,0.05692232400178909,0.037942759692668915,0.09185989201068878,0.10742287337779999,0.04833557456731796,0.1954919695854187,0.64725661277771,0.828125,0.6640625,0.671875,0.3492187559604645,2.0546875,2.0704691410064697,1.978609323501587,0.00045,1.1,0.25,0.45,0.02,1776781974.4476843,,,,,,,,,,,,
35,0,34,A,A,A,0.0,0.7423927783966064,0.03323432430624962,-2069.4169998168945,0.606563925743103,0.6224678754806519,0.6181958913803101,0.625849187374115,2.0694169998168945,0.06654739379882812,0.04195218160748482,0.10576062649488449,0.15945222973823547,0.07445911318063736,0.27749165892601013,0.6008123159408569,0.78125,0.546875,0.59375,0.3609375059604645,2.0,2.1073360443115234,2.001575469970703,0.00045,1.1,0.25,0.45,0.02,1776781974.4546125,,,,,,,,,,,,
36,0,35,A,A,A,0.0,0.6451873779296875,0.024803401902318,-2025.092601776123,0.5428886413574219,0.5486751198768616,0.547400712966919,0.5487763285636902,2.025092601776123,0.05370509624481201,0.03375093266367912,0.08852827548980713,0.11334091424942017,0.0540192574262619,0.2030671238899231,0.5368486642837524,0.8203125,0.65625,0.7265625,0.34101563692092896,1.875,2.06951642036438,1.9809880256652832,0.00045,1.1,0.25,0.45,0.02,1776781974.46599,,,,,,,,,,,,
37,0,36,A,A,A,0.0,0.6965933442115784,0.02525213733315468,-2045.6743240356445,0.5893006324768066,0.5951640605926514,0.5949716567993164,0.5920640230178833,2.0456743240356445,0.05700548738241196,0.038382574915885925,0.09223870933055878,0.11218548566102982,0.04975058138370514,0.20590277016162872,0.5823307037353516,0.8671875,0.671875,0.6875,0.34687501192092896,1.96875,2.0946598052978516,2.0024209022521973,0.00045,1.1,0.25,0.45,0.02,1776781974.481142,,,,,,,,,,,,
38,0,37,A,A,A,0.0,0.7235848307609558,0.024018744006752968,-1915.0571823120117,0.6112924814224243,0.618484377861023,0.616668701171875,0.6186522245407104,1.9150571823120117,0.05544097349047661,0.03637022525072098,0.08917760848999023,0.12211769819259644,0.05084438621997833,0.22610017657279968,0.607468843460083,0.796875,0.6015625,0.625,0.35625001788139343,1.9765625,1.9482476711273193,1.859070062637329,0.00045,1.1,0.25,0.45,0.02,1776781974.4880843,,,,,,,,,,,,
39,0,38,A,A,A,0.0,0.6120388507843018,0.014334090985357761,-2008.349895477295,0.5214976668357849,0.5261074304580688,0.524712860584259,0.5264586210250854,2.008349895477295,0.046807512640953064,0.03185885772109032,0.07390230894088745,0.09074901044368744,0.03651484474539757,0.17152509093284607,0.5166921019554138,0.8515625,0.6875,0.75,0.3374999761581421,1.828125,2.0456559658050537,1.9717535972595215,0.00045,1.1,0.25,0.45,0.02,1776781974.5043426,,,,,,,,,,,,
40,0,39,A,A,A,0.0,0.7026240229606628,0.01919959858059883,-2130.6352615356445,0.5946324467658997,0.6001783013343811,0.5967873334884644,0.6030336618423462,2.1306352615356445,0.055919475853443146,0.03746618330478668,0.08665138483047485,0.11662726104259491,0.053028225898742676,0.20772886276245117,0.586624026298523,0.8046875,0.625,0.65625,0.3515625,1.9609375,2.1626040935516357,2.0759527683258057,0.00045,1.1,0.25,0.45,0.02,1776781974.5153515,,,,,,,,,,,,
41,0,40,A,A,A,0.0,0.7077716588973999,0.04534544795751572,-1974.106788635254,0.5986917018890381,0.600852370262146,0.5989973545074463,0.6005663871765137,1.974106788635254,0.0651446282863617,0.04457872733473778,0.10515624284744263,0.11797132343053818,0.04849527031183243,0.22869792580604553,0.5853786468505859,0.875,0.6796875,0.71875,0.3421875238418579,1.96875,1.9994103908538818,1.894254207611084,0.00045,1.1,0.25,0.45,0.02,1776781974.5274892,,,,,,,,,,,,
42,0,41,A,A,A,0.0,0.801422119140625,0.023529445752501488,-2039.3996238708496,0.6800785660743713,0.6860687136650085,0.685417652130127,0.6852623224258423,2.0393996238708496,0.0631648600101471,0.04279482737183571,0.09904110431671143,0.12769542634487152,0.07827270776033401,0.20553311705589294,0.6729031801223755,0.703125,0.6171875,0.6484375,0.35273438692092896,2.1328125,2.075331449508667,1.976290225982666,0.00045,1.1,0.25,0.45,0.02,1776781974.539087,,,,,,,,,,,,
